,iso_code,date,new_cases,new_deaths,last_week_cases,last_week_deaths,cases_roc,deaths_roc,week_number,pop,gdp,gdp_per_capita,health_per_capita,hospital_bed_per_1k,lifeexp,health_per_capita_log
0,AFG,2020-01-28,0.0,0.0,0.0,0.0,,,5,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
1,AFG,2020-02-04,0.0,0.0,0.0,0.0,,,6,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
2,AFG,2020-02-11,0.0,0.0,0.0,0.0,,,7,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
3,AFG,2020-02-18,0.0,0.0,0.0,0.0,,,8,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
4,AFG,2020-02-25,1.0,0.0,0.0,0.0,,,9,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
5,AFG,2020-03-03,0.0,0.0,1.0,0.0,-100.0,,10,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
6,AFG,2020-03-10,4.0,0.0,0.0,0.0,,,11,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
7,AFG,2020-03-17,17.0,0.0,4.0,0.0,325.0,,12,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
8,AFG,2020-03-24,52.0,1.0,17.0,0.0,205.88235294117646,,13,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
9,AFG,2020-03-31,100.0,3.0,52.0,1.0,92.3076923076923,200.0,14,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
10,AFG,2020-04-07,249.0,10.0,100.0,3.0,149.0,233.33333333333334,15,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
11,AFG,2020-04-14,291.0,9.0,249.0,10.0,16.867469879518072,-10.0,16,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
12,AFG,2020-04-21,378.0,13.0,291.0,9.0,29.896907216494846,44.44444444444444,17,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
13,AFG,2020-04-28,736.0,22.0,378.0,13.0,94.70899470899471,69.23076923076923,18,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
14,AFG,2020-05-05,1396.0,37.0,736.0,22.0,89.67391304347827,68.18181818181819,19,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
15,AFG,2020-05-12,1739.0,32.0,1396.0,37.0,24.570200573065904,-13.513513513513514,20,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
16,AFG,2020-05-19,2690.0,51.0,1739.0,32.0,54.686601495112136,59.375,21,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
17,AFG,2020-05-26,4178.0,42.0,2690.0,51.0,55.31598513011152,-17.647058823529413,22,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
18,AFG,2020-06-02,4678.0,50.0,4178.0,42.0,11.967448539971278,19.047619047619047,23,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
19,AFG,2020-06-09,4950.0,114.0,4678.0,50.0,5.814450619923044,128.0,24,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
20,AFG,2020-06-16,4851.0,107.0,4950.0,114.0,-2.0,-6.140350877192983,25,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
21,AFG,2020-06-23,3171.0,127.0,4851.0,107.0,-34.63203463203463,18.69158878504673,26,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
22,AFG,2020-06-30,2036.0,128.0,3171.0,127.0,-35.79312519709871,0.7874015748031497,27,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
23,AFG,2020-07-07,1867.0,174.0,2036.0,128.0,-8.300589390962672,35.9375,28,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
24,AFG,2020-07-14,1356.0,128.0,1867.0,174.0,-27.3701124799143,-26.436781609195403,29,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
25,AFG,2020-07-21,875.0,138.0,1356.0,128.0,-35.471976401179944,7.8125,30,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
26,AFG,2020-07-28,753.0,84.0,875.0,138.0,-13.942857142857143,-39.130434782608695,31,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
27,AFG,2020-08-04,414.0,18.0,753.0,84.0,-45.0199203187251,-78.57142857142857,32,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
28,AFG,2020-08-11,487.0,56.0,414.0,18.0,17.632850241545892,211.11111111111111,33,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
29,AFG,2020-08-18,330.0,31.0,487.0,56.0,-32.238193018480494,-44.642857142857146,34,38041754.0,21739593381.8903,571.466641151464,67.12265014648439,0.5,64.486,4.221309759125887
